VIN (1-10),City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Electric Utility,Longitude,Latitude
5YJXCBE48J,East Wenatchee,WA,98802.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107437.0,PUD NO 1 OF DOUGLAS COUNTY,-120.28674,47.4176
WBY7Z4C59J,Sunnyside,WA,98944.0,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32611.85,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,-120.011515,46.32189
5YJ3E1EA3L,Kenmore,WA,98028.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,59900.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2504747,47.7617128
5YJ3E1EB7M,Vaughn,WA,98394.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,151.0,48330.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.769655,47.320505
3C3CFFGE5G,La Center,WA,98629.0,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,43238.45,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.6706246,45.8662548
KNDCC3LGXN,Alexandria,VA,22314.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,92.39,34770.0,NON WASHINGTON STATE ELECTRIC UTILITY,-77.047585,38.807715
1G1RA6S52H,Seattle,WA,98119.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.363815,47.63046
WA12AAGE8N,Seattle,WA,98136.0,2022,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,93.0,31950.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.388675,47.5415
3FMTK4SX9P,Shoreline,WA,98177.0,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,68.0,69076.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.382425,47.77279
WBY1Z4C53G,Auburn,WA,98001.0,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62157.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2849393,47.3384055
WMW13DJ02N,Tacoma,WA,98405.0,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,97.0,32503.85,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.45153,47.251135
KNDC3DLC6P,Port Townsend,WA,98368.0,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,107.0,33596.65,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,-122.7644197,48.1195874
5YJSA1E66M,Seattle,WA,98144.0,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.30823,47.581975
1G1FW6S0XP,Auburn,WA,98092.0,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,75.0,54468.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.1820969,47.3198995
5YJYGDEE3M,Fall City,WA,98024.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,72.0,62242.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-121.8936184,47.5640832
3FMTK3SU0N,Moses Lake,WA,98837.0,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,105.56,33491.6,PUD NO 2 OF GRANT COUNTY,-119.2599876,47.1240154
5YJ3E1EB3N,Seattle,WA,98118.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,62.0,76782.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.28339,47.549285
1G1RD6S54J,Lake Stevens,WA,98258.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83127.0,PUGET SOUND ENERGY INC,-122.112265,48.0047
KM8KNDAF6P,Vashon,WA,98070.0,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,114.0,35747.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.46049,47.44873
1G1RA6S53H,Everett,WA,98208.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83106.75,PUGET SOUND ENERGY INC,-122.2247757,47.9156409
5YJ3E1EA3M,Seatac,WA,98148.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,53.0,83167.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.32863,47.46233
5YJ3E1EA1P,Auburn,WA,98092.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,75.0,54468.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.1820969,47.3198995
7SAYGDEE3P,Lake Stevens,WA,98258.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,PUGET SOUND ENERGY INC,-122.112265,48.0047
1V2GNPE86P,Seattle,WA,98103.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.9655172413792,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.34301,47.659185
7SAYGDEE9P,Seattle,WA,98103.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.9655172413792,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.34301,47.659185
5YJ3E1EBXN,Redmond,WA,98052.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,76.0,53751.75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.12302,47.67668
WBY1Z8C36H,Benton City,WA,99320.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32602.85,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,-119.48994,46.2669552
1G1FY6S02K,Gig Harbor,WA,98335.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107710.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5835454,47.3234488
1N4BZ0CP4G,Bainbridge Island,WA,98110.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,43900.0,PUGET SOUND ENERGY INC,-122.5235781,47.6293323
7SAYGDEE8P,Everett,WA,98208.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,75.0,54417.0,PUGET SOUND ENERGY INC,-122.2247757,47.9156409
7PDSGABA5P,Mountlake Terrace,WA,98043.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,107.0,33596.65,PUGET SOUND ENERGY INC,-122.30842,47.78416
5YJSA1E18F,Kirkland,WA,98033.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.20264,47.6785
KM8KNDAF8P,Seattle,WA,98105.0,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,53.0,83167.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.319115,47.66132
KNDJX3AE4G,Auburn,WA,98002.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.222855,47.305065
5YJSA1E28H,Snohomish,WA,98290.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,74838.5,PUGET SOUND ENERGY INC,-122.091505,47.915555
1G1RC6S53J,Aberdeen,WA,98520.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83127.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,-123.8206,46.97789
1G1RD6S54J,Covington,WA,98042.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83106.75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.111625,47.36078
YV4ED3UB3N,Veradale,WA,99037.0,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,106.6,33568.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,-117.19651,47.65942
WBY1Z8C38H,Bellevue,WA,98008.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32560.25,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.11832,47.6245
1G1FX6S06H,Seattle,WA,98102.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107710.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.32226,47.64058
5YJ3E1EA0J,Auburn,WA,98002.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.222855,47.305065
5YJSA1E5XM,Washougal,WA,98671.0,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,97.0,32531.85,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),-122.35465,45.58359
7SAYGDEF5P,Seattle,WA,98102.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,208.0,69900.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.32226,47.64058
1G1RA6S51H,Puyallup,WA,98374.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.275748,47.1395924
1G1RD6S55H,Steilacoom,WA,98388.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83101.5,BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5970685,47.1686632
7SAYGAEE4P,Edgewood,WA,98372.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.99,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.28718,47.190465
1N4AZ1CP8K,Chehalis,WA,98532.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,47970.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.96692,46.66113
3FMTK2SU5P,Sammamish,WA,98075.0,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,71.87,62128.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.03309,47.58153
WBY1Z8C37H,Seattle,WA,98105.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32644.85,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.319115,47.66132
1G1FY6S02K,Redmond,WA,98052.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107710.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.12302,47.67668
WVWKR7AU4K,Bothell,WA,98012.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,37904.5,PUGET SOUND ENERGY INC,-122.1873,47.820245
3C3CFFGE8G,Orting,WA,98360.0,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,43858.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2032237,47.0942956
1G1RC6S54J,Silverdale,WA,98383.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,PUGET SOUND ENERGY INC,-122.668076,47.665978
1G1RC6S53J,South Hill,WA,98375.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83113.5,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,-122.3085456,47.1042426
KM8KNDAF9N,Puyallup,WA,98372.0,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.99,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.28718,47.190465
1G1RD6S56H,Bellingham,WA,98225.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83127.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.486115,48.761615
5YJXCBE22J,Burien,WA,98168.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107651.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.286465,47.476
5YJ3E1EA4L,Pullman,WA,99163.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,59900.0,AVISTA CORP,-117.17912,46.730885
5YJ3E1EAXM,Kent,WA,98030.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,53.0,83086.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.199755,47.37483
5YJ3E1EB9L,Kent,WA,98031.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,59900.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2012521,47.3931814
KNDC3DLC9P,Everett,WA,98208.0,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,75.0,54417.0,PUGET SOUND ENERGY INC,-122.2247757,47.9156409
1G1FZ6S03K,Olympia,WA,98502.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107710.0,PUGET SOUND ENERGY INC,-122.92145,47.045935
1G1FX6S05H,Bellingham,WA,98226.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,106598.5,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.45493,48.76809
5YJYGDEE5L,Spokane,WA,99203.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,59900.0,MODERN ELECTRIC WATER COMPANY,-117.425265,47.635365
5YJ3E1EB8J,Ellensburg,WA,98926.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),-120.54513,46.993465
5YJ3E1EBXM,Spokane,WA,99208.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,104.84,33434.3,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,-117.40725,47.718625
7FCTGAAA7N,Seattle,WA,98103.0,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.9655172413792,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.34301,47.659185
5YJYGAEEXM,Seattle,WA,98117.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,58.0,78195.75,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
1G1RA6S52H,Des Moines,WA,98198.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83113.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.3219166,47.4013897
WBY1Z8C30H,Seattle,WA,98116.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,32503.85,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.38679,47.56484
WBY1Z4C51F,Edgewood,WA,98372.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62071.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.28718,47.190465
1G1FW6S03J,Seattle,WA,98104.0,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107710.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.329075,47.6018
7FCEHDB75N,Kent,WA,98032.0,2022,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.66666666666652,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.235475,47.3809
1N4AZ1CP7L,Vancouver,WA,98682.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149.0,46892.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.5146473,45.67862
5YJSA1E21H,Edmonds,WA,98020.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,74838.5,PUGET SOUND ENERGY INC,-122.37507,47.80807
1N4BZ0CP6H,Eastsound,WA,98245.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,33596.65,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,-122.907229,48.7016716
7SAYGAEE6N,Centralia,WA,98531.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,53.02,83086.5,BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),-122.962555,46.716875
WBY1Z4C58F,Seattle,WA,98136.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62071.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.388675,47.5415
5YJSA1S26F,Kent,WA,98032.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.235475,47.3809
7SAYGAEE1P,East Wenatchee,WA,98802.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,107.0,33596.65,PUD NO 1 OF DOUGLAS COUNTY,-120.28674,47.4176
WVGRMPE24M,Seattle,WA,98103.0,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,124.9655172413792,37904.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.34301,47.659185
WVWPR7AU8K,Vancouver,WA,98663.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,37904.5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.666325,45.641205
5YJ3E1EA3K,Gig Harbor,WA,98335.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.5835454,47.3234488
5YJYGDEE8M,Seattle,WA,98117.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,58.0,78195.75,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
7SAYGDEF8N,Vancouver,WA,98684.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,103.08,33310.15,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.51692,45.6228
1G1FW6S05J,Issaquah,WA,98027.0,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107144.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.03646,47.534065
1G1FX6S01P,Bainbridge Island,WA,98110.0,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,114.0,35747.5,PUGET SOUND ENERGY INC,-122.5235781,47.6293323
WA1LAAGE7K,Vancouver,WA,98664.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204.0,67383.5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.589388,45.6228731
1N4BZ1CP4K,Bellevue,WA,98007.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,47970.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.147385,47.599975
1G1RC6S50H,Seattle,WA,98103.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.34301,47.659185
KNDCC3LG2L,Seattle,WA,98112.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,108310.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.30764,47.62523
5YJ3E1EA7J,Longbranch,WA,98351.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.7736637,47.1835998
WBY1Z4C50F,Bothell,WA,98011.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62109.50000000007,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.20578,47.762405
7PDSGABA0P,Redmond,WA,98052.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,76.0,53751.75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.12302,47.67668
7SAYGDEE0P,Redmond,WA,98052.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,76.0,53751.75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.12302,47.67668
5YJ3E1EA8M,Sammamish,WA,98075.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,71.87,62128.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.03309,47.58153
1G1RD6S56H,Kent,WA,98030.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.199755,47.37483
5YJSA1E2XJ,Spokane,WA,99203.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,99111.0,MODERN ELECTRIC WATER COMPANY,-117.425265,47.635365
1G1RD6S59H,Camas,WA,98607.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.405565,45.59009
7SAYGDEF9P,Washougal,WA,98671.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,97.0,32531.85,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,-122.35465,45.58359
1G1RD6S50H,Spokane Valley,WA,99027.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,82481.45,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,-117.10806,47.700365
WBY1Z4C53G,Lakebay,WA,98349.0,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62098.5,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,-122.7658848,47.2739449
5YJ3E1EA2K,Seattle,WA,98136.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.388675,47.5415
1N4BZ0CP4G,Seattle,WA,98117.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,43889.625,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
1G1RB6S58H,Bellevue,WA,98005.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83127.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.16085,47.624515
